,date,open,high,low,close,volumn,tic,openinterest,day
892,2021-07-09,170.0,172.31,169.21,165.31,3175200,AXP,0,4
893,2021-07-12,170.07,174.1,169.88,166.9,3154100,AXP,0,0
894,2021-07-13,174.0,174.74,172.42,165.96,2675000,AXP,0,1
895,2021-07-14,172.86,174.55,171.01,165.86,3123100,AXP,0,2
896,2021-07-15,171.14,173.26,171.1,166.18,3448200,AXP,0,3
897,2021-07-16,173.74,173.79,169.54,163.45,4359800,AXP,0,4
898,2021-07-19,165.65,166.38,161.48,156.53,6739800,AXP,0,0
899,2021-07-20,162.94,169.58,162.57,162.35,4243700,AXP,0,1
900,2021-07-21,170.74,173.62,169.74,165.85,3384500,AXP,0,2
901,2021-07-22,172.25,173.21,169.05,164.31,3335900,AXP,0,3
902,2021-07-23,176.53,179.67,172.95,166.5,6326600,AXP,0,4
903,2021-07-26,173.25,175.43,172.3,165.95,3115900,AXP,0,0
904,2021-07-27,170.46,175.12,169.96,166.27,7922600,AXP,0,1
905,2021-07-28,173.0,173.45,169.71,163.46,7961700,AXP,0,2
906,2021-07-29,171.39,173.82,171.0,165.32,3186900,AXP,0,3
907,2021-07-30,172.32,173.24,169.82,163.95,3441900,AXP,0,4
908,2021-08-02,171.14,173.36,168.76,162.74,2895700,AXP,0,0
909,2021-08-03,169.75,170.29,165.3,162.52,3642000,AXP,0,1
910,2021-08-04,168.3,170.44,167.32,161.58,3544400,AXP,0,2
911,2021-08-05,168.66,170.53,168.32,163.09,2535400,AXP,0,3
912,2021-08-06,170.53,172.85,169.74,164.75,2828700,AXP,0,4
913,2021-08-09,170.35,171.12,168.79,164.19,2560200,AXP,0,0
914,2021-08-10,170.73,171.7,168.68,162.95,3389500,AXP,0,1
915,2021-08-11,169.45,170.73,168.67,164.09,3843400,AXP,0,2
916,2021-08-12,170.02,170.11,167.97,162.02,3372800,AXP,0,3
917,2021-08-13,168.09,168.3,165.61,159.67,4157700,AXP,0,4
918,2021-08-16,164.77,165.9,162.63,159.36,3845400,AXP,0,0
919,2021-08-17,164.76,166.35,163.35,158.3,7631600,AXP,0,1
920,2021-08-18,163.83,165.14,162.06,155.88,3563700,AXP,0,2
921,2021-08-19,160.16,161.09,157.33,152.89,4256400,AXP,0,3
922,2021-08-20,158.85,159.99,158.06,153.59,3075000,AXP,0,4
923,2021-08-23,161.23,161.85,160.11,154.26,2006300,AXP,0,0
924,2021-08-24,160.6,161.9,160.19,154.98,2377600,AXP,0,1
925,2021-08-25,161.88,167.23,160.5,159.77,3579900,AXP,0,2
926,2021-08-26,165.97,166.5,164.38,159.12,3164700,AXP,0,3
927,2021-08-27,165.35,168.89,165.16,162.14,3002300,AXP,0,4
928,2021-08-30,168.16,168.3,164.21,157.92,2582100,AXP,0,0
929,2021-08-31,164.1,166.43,163.72,159.56,3536300,AXP,0,1
930,2021-09-01,166.34,167.28,164.13,158.1,2569000,AXP,0,2
931,2021-09-02,165.05,165.08,161.14,155.8,4350600,AXP,0,3
932,2021-09-03,160.75,161.28,158.17,153.15,4206500,AXP,0,4
933,2021-09-07,158.87,160.66,158.57,153.56,3779000,AXP,0,1
934,2021-09-08,159.19,159.26,156.8,152.8,3056700,AXP,0,2
935,2021-09-09,158.78,162.15,158.54,153.24,3295800,AXP,0,3
936,2021-09-10,161.17,161.46,158.39,152.6,2943700,AXP,0,4
937,2021-09-13,160.64,161.8,159.75,155.22,3192500,AXP,0,0
938,2021-09-14,162.68,165.83,158.78,153.33,4281500,AXP,0,1
939,2021-09-15,160.02,162.31,159.21,155.12,2933100,AXP,0,2
940,2021-09-16,163.1,164.5,162.2,156.36,2765000,AXP,0,3
941,2021-09-17,161.57,164.25,161.57,157.6,6390600,AXP,0,4
942,2021-09-20,159.36,162.14,157.95,154.38,5976900,AXP,0,0
943,2021-09-21,161.91,165.35,161.69,156.97,3480600,AXP,0,1
944,2021-09-22,165.62,168.62,164.9,161.03,3562800,AXP,0,2
945,2021-09-23,169.49,174.1,169.31,166.67,4399200,AXP,0,3
